Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
634dc89ae9a15376bceef4aa,634d7cbd75aedb15606443cd,APPROVED,2022-10-17T21:26:55.627000Z,2022-10-17T21:27:38.241000Z,2022-10-17T21:27:38.696000Z,2022-10-17T21:27:38.615859Z,43,C144ZYME,4,20,Female,White,United States,United States,United States,English,Yes,Part-Time,
634dc8acf213abd4ddb8ea69,60bac4eb11e08e852fd030ab,APPROVED,2022-10-17T21:27:15.752000Z,2022-10-17T21:29:31.932000Z,2022-10-17T21:29:32.457000Z,2022-10-17T21:29:32.395427Z,137,C144ZYME,380,67,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
634dc8b4bf27a5244ac95150,5dd5378596afdf4eb31c657b,APPROVED,2022-10-17T21:27:20.643000Z,2022-10-17T21:28:25.908000Z,2022-10-17T21:28:26.341000Z,2022-10-17T21:28:26.274882Z,66,C144ZYME,595,44,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
634dc8b98b048a017961e464,5fd6ebe9b77a3d65df0c0674,APPROVED,2022-10-17T21:27:26.027000Z,2022-10-17T21:28:50.685000Z,2022-10-17T21:28:56.188000Z,2022-10-17T21:28:51.089173Z,85,C144ZYME,384,26,Female,White,United States,United States,United States,English,No,Full-Time,
634dc8c0ea0ba3b595d7257d,5947f37ff154200001b51473,APPROVED,2022-10-17T21:27:30.023000Z,2022-10-17T21:27:52.105000Z,2022-10-17T21:27:52.633000Z,2022-10-17T21:27:52.561250Z,23,C144ZYME,945,26,Male,White,United States,United States,United States,English,No,Full-Time,
634dc8c2b7ddcbb82a2f071f,5ed68cac121a540dfb82f4ea,APPROVED,2022-10-17T21:27:35.956000Z,2022-10-17T21:28:50.563000Z,2022-10-17T21:28:50.968000Z,2022-10-17T21:28:50.900070Z,75,C144ZYME,832,35,Male,Mixed,United States,United States,United States,English,No,Full-Time,
634dc8c64f7186870cfa7f03,60d8d9348db2bb3a539b5c1d,APPROVED,2022-10-17T21:27:40.469000Z,2022-10-17T21:29:19.897000Z,2022-10-17T21:29:20.346000Z,2022-10-17T21:29:20.273732Z,100,C144ZYME,358,60,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc8ceef75c11e322ac255,6165abdc7a32008e0ab655ae,APPROVED,2022-10-17T21:27:44.180000Z,2022-10-17T21:29:34.626000Z,2022-10-17T21:29:35.089000Z,2022-10-17T21:29:35.019548Z,111,C144ZYME,600,25,Female,White,United States,United States,United States,English,No,Part-Time,
634dc8cf7fcbcb707993e478,60210277bcd2e700088f531c,APPROVED,2022-10-17T21:27:45.416000Z,2022-10-17T21:30:30.162000Z,2022-10-17T21:30:35.607000Z,2022-10-17T21:30:30.525507Z,165,C144ZYME,7,25,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
634dc8cfbf27a5244ac95153,5a219133b4665b00011fd87a,APPROVED,2022-10-17T21:27:47.049000Z,2022-10-17T21:30:33.347000Z,2022-10-17T21:30:33.913000Z,2022-10-17T21:30:33.848227Z,167,C144ZYME,639,24,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking),
